date,platform,content_type,topic,reach,views,likes,comments,shares,saves,profile_clicks,line_clicks,orders_from_social
2026-06-01,Instagram,限動,今日香蕉優惠,820,760,42,3,8,12,35,14,4
2026-06-01,Facebook,貼文,辦公室水果箱介紹,540,510,28,2,6,9,18,8,2
2026-06-02,Instagram,貼文,芒果到貨,980,910,66,8,15,22,52,20,5
2026-06-02,Instagram,限動,切盒水果午休優惠,760,702,38,2,7,10,31,12,3
2026-06-03,Facebook,貼文,西瓜消暑組合,690,645,40,4,9,13,25,11,3
2026-06-03,Instagram,短影片,水果保存技巧,1250,1180,92,11,28,44,67,19,4
2026-06-04,Instagram,限動,火龍果促銷,700,655,31,1,5,7,22,9,2
2026-06-04,Facebook,貼文,LINE 預訂教學,580,548,34,3,10,16,28,14,4
2026-06-05,Instagram,貼文,雨天配送提醒,640,598,29,2,5,8,20,8,2
2026-06-05,Instagram,限動,週末水果箱預告,890,830,55,5,12,18,44,18,5
2026-06-06,Instagram,短影片,週末水果箱開箱,1580,1490,126,18,42,63,92,39,12
2026-06-06,Facebook,貼文,家庭採買優惠,760,720,52,6,15,19,36,16,5
2026-06-07,Instagram,限動,切盒水果熱賣,1120,1050,78,7,21,30,65,28,9
2026-06-07,Facebook,貼文,週末優惠倒數,840,790,58,5,18,21,40,19,6
2026-06-08,Instagram,貼文,蘋果保存技巧,900,845,60,4,13,26,41,14,3
2026-06-08,Instagram,限動,今日到貨清單,780,730,39,3,8,11,30,12,3
2026-06-09,Facebook,貼文,火龍果營養介紹,620,585,36,2,8,15,24,9,2
2026-06-09,Instagram,短影片,切盒水果製作過程,1420,1340,110,14,36,52,84,32,8
2026-06-10,Instagram,限動,西瓜消暑優惠,1040,980,72,6,17,24,58,25,7
2026-06-10,Facebook,貼文,辦公室水果箱回購故事,710,668,48,4,13,18,34,15,5
2026-06-11,Instagram,貼文,芒果價格說明,860,802,44,9,11,20,38,13,3
2026-06-11,Instagram,限動,香蕉促銷組合,690,640,35,2,6,9,25,10,2
2026-06-12,Instagram,短影片,團購水果箱整理,1660,1580,138,20,47,70,103,44,14
2026-06-12,Facebook,貼文,下週預訂提醒,780,735,50,5,16,22,39,18,6
